,qualify_alcohol,seating_interest,address,id
3511,yes,both,"9535 40th road, queens, ny",3511
3512,no,both,"1739 west    7 street, brooklyn, ny",3512
3513,yes,both,"46 henry street, brooklyn, ny",3513
3514,no,both,"210 east  23rd , manhattan, ny",3514
3515,yes,sidewalk,"630 hudson street, manhattan, ny",3515
3516,yes,sidewalk,"201 46 street, brooklyn, ny",3516
3517,yes,both,"29 2 avenue, manhattan, ny",3517
3518,yes,both,"216  e 10th st, manhattan, ny",3518
3519,yes,both,"818  10th avenue , manhattan, ny",3519
3520,yes,roadway,"158  baltic, brooklyn, ny",3520
3521,yes,both,"406 8 avenue, manhattan, ny",3521
3522,yes,both,"27 e62 st, manhattan, ny",3522
3523,yes,both,"794 washington avenue , brooklyn, ny",3523
3524,yes,both,"28  cornelia street, manhattan, ny",3524
3525,no,sidewalk,"325 lafayette avenue, brooklyn, ny",3525
3526,yes,sidewalk,"481 8 avenue, manhattan, ny",3526
3527,yes,both,"91 e 7th st, manhattan, ny",3527
3528,yes,roadway,"201  west 79th street, manhattan, ny",3528
3529,yes,both,"108 west   74 street, manhattan, ny",3529
3530,yes,both,"440 5 avenue, brooklyn, ny",3530
3531,yes,sidewalk,"212 w 14th street, manhattan, ny",3531
3532,yes,both,"1624 amsterdam ave, manhattan, ny",3532
3533,yes,both,"13310 crossbay blvd, queens, ny",3533
3534,yes,both,"813  ave u, brooklyn, ny",3534
3535,yes,roadway,"90 calyer street, brooklyn, ny",3535
3536,yes,both,"126 crosby street, manhattan, ny",3536
3537,yes,both,"43 02  43rd ave, sunnyside, queens, ny",3537
3538,yes,sidewalk,"13 e 12th st., manhattan, ny",3538
3539,yes,both,"624 vanderbilt avenue, brooklyn, ny",3539
3540,yes,both,"616 east 187 street , bronx, ny",3540
3541,yes,both,"219 dyckman street, manhattan, ny",3541
3542,yes,roadway,"7680 east  116 street, manhattan, ny",3542
3543,no,sidewalk,"2541 broadway, manhattan, ny",3543
3544,yes,both,"12-53 150th street, queens, ny",3544
3545,yes,both,"210 west   10 street, manhattan, ny",3545
3546,yes,sidewalk,"75 9th ave, manhattan, ny",3546
3547,yes,both,"45 murray street , manhattan, ny",3547
3548,yes,both,"343 franklin avenue, brooklyn, ny",3548
3549,yes,openstreets,"12 east 32nd st, manhattan, ny",3549
3550,yes,both,"343 west   46 street, manhattan, ny",3550
3551,yes,both,"511 east    5 street, manhattan, ny",3551
3552,no,sidewalk,"3276 layton ave , bronx, ny",3552
3553,yes,sidewalk,"1934 86th street, brooklyn, ny",3553
3554,yes,sidewalk,"1621 westchester avenue, bronx, ny",3554
3555,yes,both,"2935-2937 atlantic avenue, brooklyn, ny",3555
3556,yes,sidewalk,"76 clinton street, manhattan, ny",3556
3557,no,sidewalk,"241 241 bushwick avenue, brooklyn, ny",3557
3558,yes,roadway,"303 e 85th street, manhattan, ny",3558
3559,yes,both,"10202 37th avenue, queens, ny",3559
3560,yes,both,"45 e 33rd street, manhattan, ny",3560
3561,yes,roadway,"1003  2nd avenue, manhattan, ny",3561
3562,yes,roadway,"524 lorimer street, brooklyn, ny",3562
3563,yes,roadway,"466 hudson street, manhattan, ny",3563
3564,yes,sidewalk,"308 bowery, manhattan, ny",3564
3565,yes,sidewalk,"1310  cortelyou road, brooklyn, ny",3565
3566,yes,both,"302-304   w4th street, manhattan, ny",3566
3567,no,sidewalk,"304 east   49 street, manhattan, ny",3567
3568,no,roadway,"508 columbus avenue, manhattan, ny",3568
3569,yes,both,"2256  adam clayton powell jr. blvd, manhattan, ny",3569
3570,yes,both,"219 avenue b, manhattan, ny",3570
3571,yes,both,"290 5th ave, manhattan, ny",3571
3572,yes,both,"9259  4th avenue, brooklyn, ny",3572
3573,yes,roadway,"136 west 46th street, manhattan, ny",3573
3574,yes,both,"420 west 13th street, manhattan, ny",3574
3575,yes,sidewalk,"17721 union tpke, queens, ny",3575
3576,yes,both,"1705 1 avenue, manhattan, ny",3576
3577,yes,both,"711 7th avenue , manhattan, ny",3577
3578,yes,both,"200 east   54 street, manhattan, ny",3578
3579,yes,sidewalk,"2722 gerritsen ave, brooklyn, ny",3579
3580,yes,both,"33-35 5th ave, brooklyn, ny",3580
3581,yes,both,"4 22nd street, manhattan, ny",3581
3582,yes,sidewalk,"1567  lexington ave, manhattan, ny",3582
3583,yes,both,"1 perry, manhattan, ny",3583
3584,yes,both,"53 westchester square , bronx, ny",3584
3585,yes,both,"235237 west   48 street, manhattan, ny",3585
3586,yes,roadway,"661 washington avenue, brooklyn, ny",3586
3587,yes,both,"948950 1st avenue, manhattan, ny",3587
3588,yes,openstreets,"318 5th ave, brooklyn, ny",3588
3589,no,sidewalk,"36 ralph avenue, brooklyn, ny",3589
3590,yes,openstreets,"47 bond street, manhattan, ny",3590
3591,no,sidewalk,"171 madison avenue, manhattan, ny",3591
3592,yes,both,"930 8th av., manhattan, ny",3592
3593,yes,openstreets,"1271 broadway, manhattan, ny",3593
3594,yes,sidewalk,"255 berry street, brooklyn, ny",3594
3595,yes,both,"23  st marks pl, manhattan, ny",3595
3596,yes,openstreets,"7 cornelia street, manhattan, ny",3596
3597,yes,openstreets,"28/30 avenue b, manhattan, ny",3597
3598,yes,sidewalk,"397 tompkins ave, brooklyn, ny",3598
3599,yes,roadway,"195 avenue a, manhattan, ny",3599
3600,yes,sidewalk,"12 vandam street, manhattan, ny",3600
3601,yes,both,"611a wilson avenue, brooklyn, ny",3601
3602,no,both,"42 university place, manhattan, ny",3602
3603,yes,roadway,"312 5 avenue, manhattan, ny",3603
3604,yes,both,"856 river ave., bronx, ny",3604
3605,yes,roadway,"398 west broadway, manhattan, ny",3605
3606,yes,sidewalk,"732 amsterdam avenue, manhattan, ny",3606
3607,no,sidewalk,"500 west   30 street, manhattan, ny",3607
3608,yes,roadway,"1643 2 avenue, manhattan, ny",3608
3609,yes,both,"3118 broadway, queens, ny",3609
3610,yes,both,"12207 15th ave, queens, ny",3610
3611,yes,both,"170 170 smith st, brooklyn, ny",3611
3612,no,both,"1299 coney island avenue, brooklyn, ny",3612
3613,yes,both,"85 macdougal street, manhattan, ny",3613
3614,yes,sidewalk,"675 onderdonk ave, queens, ny",3614
3615,yes,both,"72 east 161 street, bronx, ny",3615
3616,yes,openstreets,"85 orchard street, manhattan, ny",3616
3617,yes,both,"45 east   20 street, manhattan, ny",3617
3618,yes,sidewalk,"39-23 queens blvd., queens, ny",3618
3619,yes,both,"333 hudson street, manhattan, ny",3619
3620,yes,roadway,"76-05 roosevelt ave , queens, ny",3620
3621,yes,both,"4279  katonah avenue , bronx, ny",3621
3622,no,both,"9124 3 avenue, brooklyn, ny",3622
3623,yes,both,"202 spring street, manhattan, ny",3623
3624,yes,both,"212 lafayette street, manhattan, ny",3624
3625,yes,sidewalk,"15 cliff street, manhattan, ny",3625
3626,yes,both,"491 columbus avenue, manhattan, ny",3626
3627,yes,roadway,"214 hicks street, brooklyn, ny",3627
3628,yes,sidewalk,"43 lincoln rd, brooklyn, ny",3628
3629,yes,sidewalk,"54 rockaway avenue , brooklyn, ny",3629
3630,no,both,"4914 30th ave, queens, ny",3630
3631,yes,both,"236-238 236 east 53rd st, manhattan, ny",3631
3632,yes,openstreets,"136 alexander avenue, bronx, ny",3632
3633,yes,both,"6517 fresh pond rd, queens, ny",3633
3634,yes,openstreets,"47 8th street, manhattan, ny",3634
3635,yes,both,"28 west   32 street, manhattan, ny",3635
3636,yes,roadway,"234 spring street, manhattan, ny",3636
3637,yes,both,"20 east   49 street, manhattan, ny",3637
3638,yes,both,"428 bergen , brooklyn, ny",3638
3639,yes,openstreets,"72 west   36 street, manhattan, ny",3639
3640,no,sidewalk,"138-16 jamaica avenue , queens, ny",3640
3641,yes,both,"634- 638 638 manhattan ave (wasabi), brooklyn, ny",3641
3642,yes,both,"676 flushing avenue, brooklyn, ny",3642
3643,yes,both,"63 cooper square, manhattan, ny",3643
3644,yes,both,"1048 3rd avenue, manhattan, ny",3644
3645,yes,sidewalk,"713  713  2nd avenue, manhattan, ny",3645
3646,yes,both,"38 east   58 street, manhattan, ny",3646
3647,yes,both,"381 7th avenue, brooklyn, ny",3647
3648,yes,sidewalk,"53-23  53-23 roosevelt ave, queens, ny",3648
3649,no,roadway,"7212 72nd street , brooklyn, ny",3649
3650,yes,sidewalk,"18 giffords lane, staten island, ny",3650
3651,yes,both,"156 9th ave, manhattan, ny",3651
3652,yes,both,"109 east  116 street, manhattan, ny",3652
3653,yes,both,"1452 2nd ave, manhattan, ny",3653
3654,yes,both,"4702 30 avenue, queens, ny",3654
3655,yes,both,"2361 7 avenue, manhattan, ny",3655
3656,no,sidewalk,"666  seneca ave , queens, ny",3656
3657,no,both,"175  bedford avenue , brooklyn, ny",3657
3658,yes,both,"587 manhattan ave, brooklyn, ny",3658
3659,yes,sidewalk,"22320 linden blvd, queens, ny",3659
3660,no,both,"25 e 20, manhattan, ny",3660
3661,yes,both,"113  franklin street, brooklyn, ny",3661
3662,yes,both,"65 westchester sq, bronx, ny",3662
3663,no,both,"7804 3td ave, brooklyn, ny",3663
3664,yes,both,"840 second ave , manhattan, ny",3664
3665,yes,both,"322 east   59 street, manhattan, ny",3665
3666,yes,both,"93-16a 37 avenue, queens, ny",3666
3667,yes,openstreets,"150 west 46 street, manhattan, ny",3667
3668,yes,both,"385 6th avenue, manhattan, ny",3668
3669,yes,both,"4006 74st 74th st, queens, ny",3669
3670,yes,sidewalk,"1626 sain nicholas ave, manhattan, ny",3670
3671,yes,both,"48 east 23rd street, manhattan, ny",3671
3672,no,sidewalk,"359 45th street, manhattan, ny",3672
3673,yes,sidewalk,"15 vanderbilt avenue, manhattan, ny",3673
3674,yes,both,"41 west   24 street, manhattan, ny",3674
3675,yes,both,"536 east    5 street, manhattan, ny",3675
3676,yes,both,"46-11  broadway , queens, ny",3676
3677,yes,both,"2710 43rd ave, queens, ny",3677
3678,yes,sidewalk,"309 amsterdam avenue, manhattan, ny",3678
3679,yes,both,"120 franklin street, brooklyn, ny",3679
3680,yes,both,"123 west   39 street, manhattan, ny",3680
3681,yes,both,"260 w 29th st, manhattan, ny",3681
3682,yes,both,"675a seneca ave, queens, ny",3682
3683,yes,both,"10410 roosevelt ave, queens, ny",3683
3684,yes,both,"4910  3rd ave, brooklyn, ny",3684
3685,no,sidewalk,"2123 avenue u, brooklyn, ny",3685
3686,yes,roadway,"317 3 avenue, brooklyn, ny",3686
3687,yes,roadway,"483  columbus, manhattan, ny",3687
3688,yes,sidewalk,"1079 1 avenue, manhattan, ny",3688
3689,yes,openstreets,"222 lafayette street, manhattan, ny",3689
3690,no,sidewalk,"189 norwood avenue, brooklyn, ny",3690
3691,yes,sidewalk,"2726 jackson ave, queens, ny",3691
3692,yes,both,"38 east 19 st., manhattan, ny",3692
3693,yes,openstreets,"338 west 46th street, manhattan, ny",3693
3694,yes,both,"137 west 14th street, manhattan, ny",3694
3695,no,both,"1361 lexington avenue, manhattan, ny",3695
3696,yes,both,"5904 myrtle ave, queens, ny",3696
3697,yes,both,"169-23 jamaica avenue, queens, ny",3697
3698,yes,both,"25-67  steinway street, queens, ny",3698
3699,yes,roadway,"9011  3rd avenue, brooklyn, ny",3699
3700,yes,openstreets,"27 avenue b, manhattan, ny",3700
3701,yes,roadway,"147 bleecker street, manhattan, ny",3701
3702,yes,sidewalk,"130-132  audubon avenue, manhattan, ny",3702
3703,yes,both,"2350  washington ave , bronx, ny",3703
3704,yes,sidewalk,"8610  37th ave, queens, ny",3704
3705,yes,both,"237 east 5th st, manhattan, ny",3705
3706,no,roadway,"469 rogers avenue, brooklyn, ny",3706
3707,yes,both,"45-51 46 street, queens, ny",3707
3708,yes,roadway,"7  e 47th street , manhattan, ny",3708
3709,yes,both,"4004 5th ave, brooklyn, ny",3709
3710,no,sidewalk,"240  7th, brooklyn, ny",3710
3711,yes,both,"44 bedford street, manhattan, ny",3711
3712,yes,sidewalk,"180  spring , manhattan, ny",3712
3713,yes,roadway,"290 hudson st. , manhattan, ny",3713
3714,no,both,"32 west   39 street, manhattan, ny",3714
3715,yes,both,"80-24  northern blvd, queens, ny",3715
3716,yes,roadway,"70-28 austin street, queens, ny",3716
3717,yes,openstreets,"87 pearl street, manhattan, ny",3717
3718,yes,both,"531 east 5th street, manhattan, ny",3718
3719,yes,both,"43-15 crescent street, queens, ny",3719
3720,yes,both,"80 spring st, manhattan, ny",3720
3721,yes,both,"235 west   48 street, manhattan, ny",3721
3722,yes,both,"200 1st avenue, manhattan, ny",3722
3723,yes,both,"29 norman avenue, brooklyn, ny",3723
3724,yes,both,"1165 broadway, manhattan, ny",3724
3725,yes,sidewalk,"2997 westchester ave, bronx, ny",3725
3726,yes,roadway,"30 grand street, manhattan, ny",3726
3727,yes,both,"1112 forest ave, staten island, ny",3727
3728,yes,both,"230 e 51 st., manhattan, ny",3728
3729,yes,both,"229  e 9th st, manhattan, ny",3729
3730,yes,both,"219 avenue a, manhattan, ny",3730
3731,yes,sidewalk,"254-19 northern blvd, queens, ny",3731
3732,no,sidewalk,"1077 bergen, brooklyn, ny",3732
3733,yes,roadway,"420 b129th street, queens, ny",3733
3734,yes,sidewalk,"114 liberty street , manhattan, ny",3734
3735,yes,both,"224 franklin street, brooklyn, ny",3735
3736,yes,both,"689  seneca avenue corner of palmetto street, queens, ny",3736
3737,yes,both,"52 havemeyer street , brooklyn, ny",3737
3738,yes,openstreets,"214 front street, manhattan, ny",3738
3739,no,sidewalk,"867  mertopolitan ave., brooklyn, ny",3739
3740,yes,both,"293 port richmond avenue, staten island, ny",3740
3741,yes,both,"9612 31st avenue, queens, ny",3741
3742,no,sidewalk,"202 east   42 street, manhattan, ny",3742
3743,yes,both,"15 west   27 street, manhattan, ny",3743
3744,no,roadway,"280 knickerbocker avenue, brooklyn, ny",3744
3745,yes,both,"8110b-c broadway, queens, ny",3745
3746,yes,roadway,"64-19 39 avenue, queens, ny",3746
3747,no,sidewalk,"220 east 53rd street, manhattan, ny",3747
3748,yes,both,"385 tompkins avenue, brooklyn, ny",3748
3749,yes,both,"954  manhattan ave, brooklyn, ny",3749
3750,no,both,"5  5 east 47th street, manhattan, ny",3750
3751,yes,roadway,"399 grand st, manhattan, ny",3751
3752,yes,openstreets,"2168 frederick douglas boulevard, manhattan, ny",3752
3753,no,both,"3750 74th st, queens, ny",3753
3754,no,sidewalk,"2505  southern blvd, bronx, ny",3754
3755,no,both,"10402 metropolitan ave, queens, ny",3755
3756,yes,both,"99 1st ave, manhattan, ny",3756
3757,yes,both,"133-53 37th ave, queens, ny",3757
3758,no,both,"256 prospect park west, brooklyn, ny",3758
3759,yes,both,"131-74 maple avenue, queens, ny",3759
3760,yes,sidewalk,"2339 arthur avenue, bronx, ny",3760
3761,no,both,"5 5 east 47th street, manhattan, ny",3761
3762,yes,openstreets,"4515  5th ave , brooklyn, ny",3762
3763,no,sidewalk,"1290  52nd, manhattan, ny",3763
3764,no,both,"256 prospect park west, brooklyn, ny",3764
3765,yes,sidewalk,"192-08  northern boulevard, queens, ny",3765
3766,no,both,"64 7 avenue, manhattan, ny",3766
3767,yes,both,"998  columbus ave., manhattan, ny",3767
3768,yes,both,"3005 whitestone expressway, queens, ny",3768
3769,yes,sidewalk,"793 6 ave 27st 6ave, manhattan, ny",3769
3770,yes,sidewalk,"130 west    3 street, manhattan, ny",3770
3771,yes,both,"95 mcdougall street, manhattan, ny",3771
3772,yes,both,"165 wilson avenue, brooklyn, ny",3772
3773,yes,both,"3000 buhre  avenue, bronx, ny",3773
3774,yes,both,"13342 37th ave, queens, ny",3774
3775,yes,both,"1701 palmetto street, queens, ny",3775
3776,yes,both,"52  walker street, manhattan, ny",3776
3777,yes,sidewalk,"161-23 crocheron ave, queens, ny",3777
3778,yes,both,"99-01  northern boulevard, queens, ny",3778
3779,yes,sidewalk,"43 27th street, manhattan, ny",3779
3780,yes,sidewalk,"105 e 9th street, manhattan, ny",3780
3781,yes,both,"1503 college point blvd, queens, ny",3781
3782,yes,roadway,"1114 8 avenue, brooklyn, ny",3782
3783,yes,sidewalk,"476 amsterdam avenue, manhattan, ny",3783
3784,yes,roadway,"404 henry, brooklyn, ny",3784
3785,no,sidewalk,"921 broadway, manhattan, ny",3785
3786,yes,both,"316 court street, brooklyn, ny",3786
3787,yes,both,"2099 8 avenue, manhattan, ny",3787
3788,yes,roadway,"706 avenue u, brooklyn, ny",3788
3789,yes,both,"149-38  41st ave, queens, ny",3789
3790,yes,both,"4615 center blvd., queens, ny",3790
3791,yes,sidewalk,"167 3rd. avenue , manhattan, ny",3791
3792,yes,both,"189 w 231 street, bronx, ny",3792
3793,yes,both,"322 east 86th street , manhattan, ny",3793
3794,yes,both,"135 avenue a, manhattan, ny",3794
3795,yes,both,"1325  6th avenue (6 1/2 avenue), manhattan, ny",3795
3796,yes,both,"9726  63rd rd, queens, ny",3796
3797,yes,openstreets,"319 5th ave, manhattan, ny",3797
3798,yes,roadway,"604 union street, brooklyn, ny",3798
3799,yes,both,"47  east houston street, manhattan, ny",3799
3800,yes,both,"27 broadway, brooklyn, ny",3800
3801,yes,both,"2128 frederick douglass blvd , manhattan, ny",3801
3802,yes,both,"95 claremont ave, manhattan, ny",3802
3803,yes,sidewalk,"841 broadway, manhattan, ny",3803
3804,yes,sidewalk,"6914 roosevelt ave , queens, ny",3804
3805,yes,both,"130 audubon avenue, manhattan, ny",3805
3806,no,both,"39-63 61st, queens, ny",3806
3807,yes,openstreets,"374 graham avenue, brooklyn, ny",3807
3808,yes,roadway,"350 east   85 street, manhattan, ny",3808
3809,no,both,"1311 lexington avenue, manhattan, ny",3809
3810,no,sidewalk,"275 40th street, manhattan, ny",3810
3811,yes,both,"26 east  63rd street, manhattan, ny",3811
3812,yes,both,"134 nevins street, brooklyn, ny",3812
3813,no,roadway,"17 clinton street, manhattan, ny",3813
3814,yes,both,"1740 broadway, manhattan, ny",3814
3815,yes,both,"133 east   31 street, manhattan, ny",3815
3816,no,roadway,"230  park ave, manhattan, ny",3816
3817,yes,roadway,"71 pineapple street, brooklyn, ny",3817
3818,no,roadway,"329 wyckoff avenue, queens, ny",3818
3819,yes,roadway,"321 w 44th street, unit 103, manhattan, ny",3819
3820,yes,both,"39 essex street, manhattan, ny",3820
3821,yes,both,"60  w 48th street, manhattan, ny",3821
3822,yes,sidewalk,"70 pine street, manhattan, ny",3822
3823,yes,roadway,"160 pearl st, manhattan, ny",3823
3824,yes,both,"481  5th ave, brooklyn, ny",3824
3825,no,roadway,"13517 40 road, queens, ny",3825
3826,yes,sidewalk,"3511 35th ave, queens, ny",3826
3827,yes,sidewalk,"1260 flatbush avenue, brooklyn, ny",3827
3828,no,sidewalk,"113580396 queens blvd, queens, ny",3828
3829,yes,both,"14-27 150th street, queens, ny",3829
3830,yes,both,"3101  vernon blvd , queens, ny",3830
3831,yes,both,"8610  roosevelt avenue, queens, ny",3831
3832,yes,both,"150 east 46th street, manhattan, ny",3832
3833,yes,both,"987 2 avenue, manhattan, ny",3833
3834,yes,both,"179 franklin street, manhattan, ny",3834
3835,no,sidewalk,"147 west   51 street, manhattan, ny",3835
3836,yes,openstreets,"33 st marks pl., manhattan, ny",3836
3837,yes,openstreets,"10708  70th rd, queens, ny",3837
3838,yes,sidewalk,"248-08 union turnpike, queens, ny",3838
3839,yes,both,"213-11 41 avenue, queens, ny",3839
3840,yes,sidewalk,"15 gold street, manhattan, ny",3840
3841,no,sidewalk,"370 lexington avenue, manhattan, ny",3841
3842,yes,roadway,"1491 2 avenue, manhattan, ny",3842
3843,yes,sidewalk,"1596  3rd ave, manhattan, ny",3843
3844,yes,sidewalk,"220e 198th st, bronx, ny",3844
3845,yes,sidewalk,"619 saint johns place, brooklyn, ny",3845
3846,yes,both,"34-05 30th avenue, queens, ny",3846
3847,yes,both,"23 pell street, manhattan, ny",3847
3848,yes,both,"305 amsterdam avenue, manhattan, ny",3848
3849,yes,roadway,"13862 jamaica ave, queens, ny",3849
3850,yes,roadway,"352 west 44th, manhattan, ny",3850
3851,yes,both,"1442  lexington avenue, manhattan, ny",3851
3852,yes,both,"1184 broadway, manhattan, ny",3852
3853,yes,sidewalk,"44-03 30 th  ave, queens, ny",3853
3854,yes,both,"3454 broadway , manhattan, ny",3854
3855,yes,both,"1567  second avenue, manhattan, ny",3855
3856,yes,both,"150 east   47 street, manhattan, ny",3856
3857,yes,roadway,"584   amsterdam ave, manhattan, ny",3857
3858,no,both,"296 graham avenue, brooklyn, ny",3858
3859,yes,sidewalk,"5782 mosholu avenue, bronx, ny",3859
3860,yes,sidewalk,"11816 101 avenue, queens, ny",3860
3861,yes,roadway,"6  stuyvesant street, manhattan, ny",3861
3862,yes,roadway,"144  west 139th street, manhattan, ny",3862
3863,yes,roadway,"57  west 10th street, manhattan, ny",3863
3864,yes,both,"4 park avenue, manhattan, ny",3864
3865,no,roadway,"219 116th street, manhattan, ny",3865
3866,yes,sidewalk,"55 gansevoort street, manhattan, ny",3866
3867,yes,both,"420 hudson street, manhattan, ny",3867
3868,yes,both,"59 5th avenue, brooklyn, ny",3868
3869,yes,both,"87-22  lefferts  boulevard, queens, ny",3869
3870,yes,both,"177 henry street  (aka 16-18 jefferson street), manhattan, ny",3870
3871,yes,both,"109 graham ave , brooklyn, ny",3871
3872,yes,roadway,"2611 bath avenue, brooklyn, ny",3872
3873,no,sidewalk,"1186 broadway, manhattan, ny",3873
3874,no,sidewalk,"704 704 dekalb avenue, brooklyn, ny",3874
3875,yes,sidewalk,"384 e 188 street, bronx, ny",3875
3876,yes,both,"30 east 33rd street, manhattan, ny",3876
3877,yes,sidewalk,"277c grand street, manhattan, ny",3877
3878,yes,sidewalk,"3902 bell blvd, queens, ny",3878
3879,yes,roadway,"229 e 53rd street , manhattan, ny",3879
3880,yes,openstreets,"70 pine st, manhattan, ny",3880
3881,yes,sidewalk,"2201 nostrand ave, brooklyn, ny",3881
3882,no,sidewalk,"920 amsterdam avenue, manhattan, ny",3882
3883,yes,sidewalk,"15 east   15 street, manhattan, ny",3883
3884,yes,both,"127 atlantic avenue, brooklyn, ny",3884
3885,yes,both,"11  waverly place, manhattan, ny",3885
3886,yes,roadway,"787 9 avenue, manhattan, ny",3886
3887,yes,sidewalk,"63-88  woodhaven blvd, queens, ny",3887
3888,no,sidewalk,"547 547 6 avenue, manhattan, ny",3888
3889,yes,both,"38-13 union street, queens, ny",3889
3890,yes,sidewalk,"339 adams st , brooklyn, ny",3890
3891,yes,both,"7603 37th ave, queens, ny",3891
3892,yes,roadway,"768  fifth avenue, manhattan, ny",3892
3893,no,sidewalk,"547 547 6 avenue, manhattan, ny",3893
3894,yes,openstreets,"61 christopher street, manhattan, ny",3894
3895,yes,sidewalk,"179 second ave, manhattan, ny",3895
3896,yes,both,"502 east   95 street, brooklyn, ny",3896
3897,yes,both,"48-20  skillman ave, queens, ny",3897
3898,yes,openstreets,"42 e 20th st, manhattan, ny",3898
3899,yes,both,"15 main street, brooklyn, ny",3899
3900,yes,sidewalk,"88-16 queens boulevard, queens, ny",3900
3901,yes,roadway,"26-02 23 avenue, queens, ny",3901
3902,yes,both,"317  9 street, brooklyn, ny",3902
3903,yes,both,"63 carmine street, manhattan, ny",3903
3904,no,both,"652 seneca avenue, queens, ny",3904
3905,yes,both,"242 e 19 street, manhattan, ny",3905
3906,yes,sidewalk,"622 3rd avenue, manhattan, ny",3906
3907,yes,both,"5012 vernon blvd, queens, ny",3907
3908,yes,sidewalk,"60 west 23rd street, manhattan, ny",3908
3909,yes,roadway,"85 4 avenue, manhattan, ny",3909
3910,yes,sidewalk,"380 marcus garvey boulevard, brooklyn, ny",3910
3911,yes,both,"96 e 161st, bronx, ny",3911
3912,no,roadway,"248 broome street, manhattan, ny",3912
3913,yes,both,"691 tenth avenue, manhattan, ny",3913
3914,yes,both,"1407 nostrand ave, manhattan, ny",3914
3915,yes,both,"22 mott street, manhattan, ny",3915
3916,yes,roadway,"582  seneca ave, queens, ny",3916
3917,yes,both,"15 west   21 street, manhattan, ny",3917
3918,yes,sidewalk,"185 bleecker street, manhattan, ny",3918
3919,yes,sidewalk,"6403 11th ave , brooklyn, ny",3919
3920,yes,both,"47 java street, brooklyn, ny",3920
3921,yes,sidewalk,"656  656 9th avenue, manhattan, ny",3921
3922,no,both,"190 orchard, manhattan, ny",3922
3923,yes,both,"114  8th avenue, manhattan, ny",3923
3924,yes,openstreets,"2190 frederick douglass boulevard, manhattan, ny",3924
3925,yes,sidewalk,"769 metropolitan avenue, brooklyn, ny",3925
3926,yes,both,"79 28  37th av, queens, ny",3926
3927,yes,both,"115 west   45 street, manhattan, ny",3927
3928,yes,both,"157 ludlow street, manhattan, ny",3928
3929,yes,both,"4019 bell blvd, queens, ny",3929
3930,no,both,"4757 47 streer, queens, ny",3930
3931,yes,roadway,"132 132 union street, storefront, brooklyn, ny",3931
3932,yes,both,"1744 1 avenue, manhattan, ny",3932
3933,yes,both,"256 prospect park west, brooklyn, ny",3933
3934,yes,roadway,"839 6th ave, manhattan, ny",3934
3935,no,roadway,"354 rogers avenue, brooklyn, ny",3935
3936,no,sidewalk,"935 broadway, manhattan, ny",3936
3937,yes,roadway,"112  greenwich avenue, manhattan, ny",3937
3938,yes,sidewalk,"50 commerce street, manhattan, ny",3938
3939,yes,sidewalk,"14 bushwick ave, brooklyn, ny",3939
3940,yes,both,"5788 5788 mosholu avenue, bronx, ny",3940
3941,no,sidewalk,"373 waverly avenue, brooklyn, ny",3941
3942,yes,roadway,"440  15street, brooklyn, ny",3942
3943,yes,both,"521 stanley avenue, brooklyn, ny",3943
3944,yes,both,"287  new dorp lane , staten island, ny",3944
3945,yes,both,"1261 st. nicholas avenue, manhattan, ny",3945
3946,yes,sidewalk,"200 varick street, manhattan, ny",3946
3947,no,both,"1809 emmons avenue, brooklyn, ny",3947
3948,yes,both,"1744  2nd ave, manhattan, ny",3948
3949,no,both,"113east 31st, manhattan, ny",3949
3950,yes,roadway,"259 west 4th street, manhattan, ny",3950
3951,yes,sidewalk,"225 columbus avenue, manhattan, ny",3951
3952,yes,both,"256 prospect park west, brooklyn, ny",3952
3953,yes,roadway,"2109 broadway, manhattan, ny",3953
3954,yes,roadway,"7128 roosevelt ave, queens, ny",3954
3955,yes,both,"2503 40th ave, queens, ny",3955
3956,yes,both,"11148 lefferts blvd, queens, ny",3956
3957,yes,sidewalk,"589 11th avenue, manhattan, ny",3957
3958,yes,sidewalk,"445 albee square west, brooklyn, ny",3958
3959,yes,both,"353 flatbush avenue, brooklyn, ny",3959
3960,yes,both,"524 lorimer street, brooklyn, ny",3960
3961,yes,both,"542 3 avenue, manhattan, ny",3961
3962,yes,openstreets,"5w west 32nd street, manhattan, ny",3962
3963,yes,both,"692 3rd avenue, manhattan, ny",3963
3964,yes,both,"401 west 24th street, manhattan, ny",3964
3965,no,both,"280 3 avenue, manhattan, ny",3965
3966,yes,roadway,"403 grand street, manhattan, ny",3966
3967,yes,sidewalk,"632 hudson st, manhattan, ny",3967
3968,yes,both,"28-10 steinway street, queens, ny",3968
3969,yes,sidewalk,"583 driggs avenue, brooklyn, ny",3969
3970,yes,both,"40 bogart st., brooklyn, ny",3970
3971,yes,both,"1038610 232 e 58th street, manhattan, ny",3971
3972,yes,sidewalk,"99 2nd ave, manhattan, ny",3972
3973,yes,roadway,"95-29  sutphin blvd., queens, ny",3973
3974,yes,roadway,"240 e 9th st, manhattan, ny",3974
3975,yes,both,"756 ninth avenue, manhattan, ny",3975
3976,yes,both,"2458 webster avenue, bronx, ny",3976
3977,yes,both,"179 7th avenue, brooklyn, ny",3977
3978,yes,both,"38-34 31st street, queens, ny",3978
3979,no,sidewalk,"1552 saint nicholas , manhattan, ny",3979
3980,yes,sidewalk,"297 9th street, brooklyn, ny",3980
3981,yes,sidewalk,"35-25 steinway street , queens, ny",3981
